state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Kansas,KS,2937880,0.5973423592829384,1754920.1704901592,0.015446771808246808,4,7,3,6,9,3,20,0.0,0.0,0.0,0.0574594605633994,0.0,0.0,0.594720288358327,0.7786135138523255,0.5973423592829384,0.5845703492266829,0.78412937194434,0.5968409176382099
Oregon,OR,4237256,0.404606692742286,1714422.136462408,0.015090308932710671,6,7,1,8,9,1,41,0.0,0.0,0.0,0.0195067279390246,0.0,0.0,0.4473288617720556,0.6840504128639721,0.404606692742286,0.4071588270045632,0.6610169491525424,0.3478487614080834
Washington,WA,7705281,0.244766274734729,1885992.9261542875,0.016600471549732133,10,7,-3,12,9,-3,53,0.0,0.0,0.0,0.0399161302488514,0.0,0.0,0.3190165371024669,0.5825924863779753,0.244766274734729,0.3122097023038697,0.5666762259822197,0.2512188127330083
Wisconsin,WI,5893718,0.2900262467191601,1709332.910761155,0.015045513671131359,8,7,-1,10,9,-1,55,0.0,0.0,0.0,0.0638401769477263,0.0,0.0,0.3628042512142037,0.6313585801774778,0.2900262467191601,0.3690057846773059,0.645856767904012,0.3007124109486314
Alabama,AL,5024279,0.3179419525065963,1597429.075197889,0.014060538376254813,7,6,-1,9,8,-1,1,0.0,0.0,0.0,0.2579797021622406,0.0,0.0,0.3831955846262551,0.6918792143066549,0.3179419525065963,0.3796211182284795,0.6820580474934037,0.3073878627968338
Arizona,AZ,7151502,0.2151501107163087,1538646.4470879033,0.01354313487382064,9,6,-3,11,8,-3,4,0.0,0.0,0.0,0.0474236041603568,0.0,0.0,0.2977250856120295,0.5692878109068439,0.2151501107163087,0.3015456179756295,0.5753128379422215,0.2201452186003398
Iowa,IA,3190369,0.5070406278855032,1617646.7009464449,0.014238493508741125,4,6,2,6,8,2,19,0.0,0.0,0.0,0.0413657479746073,0.0,0.0,0.5228548199626327,0.7412280701754387,0.5070406278855032,0.5299458596184643,0.7510387811634349,0.5225069252077562
Louisiana,LA,4657757,0.2898481973434535,1350042.470113852,0.011883046487217677,6,5,-1,8,7,-1,22,0.0,0.0,0.0,0.3143193172164198,0.0,0.0,0.3633549284286547,0.6750474383301709,0.2898481973434535,0.3811261576990927,0.6916508538899431,0.3161764705882353
Massachusetts,MA,7029917,0.1781130494001781,1252119.953900152,0.011021134482171943,9,5,-4,11,7,-4,25,0.0,0.0,0.0,0.0702752251555743,0.0,0.0,0.2605432581018518,0.5068363979255068,0.1781130494001781,0.2615552222074886,0.517051705170517,0.1774320289171774
Minnesota,MN,5706494,0.2080671184252985,1187333.7628912553,0.01045088774065754,8,5,-3,10,7,-3,27,0.0,0.0,0.0,0.0698211546354031,0.0,0.0,0.2919259055655554,0.5568893191352049,0.2080671184252985,0.3047980250370583,0.569215876089061,0.216650532429816
